0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:07 +0700] "GET /NhanKhauVN/views/admin/assets/css/custom.css;jsessionid=1B48C2E0068F3272CFD0D94F25ACD1D7 HTTP/1.1" 200 8736
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:07 +0700] "GET /NhanKhauVN/views/admin/assets/js/morris/morris-0.4.3.min.css;jsessionid=1B48C2E0068F3272CFD0D94F25ACD1D7 HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:07 +0700] "GET /NhanKhauVN/views/admin/assets/js/jquery-1.10.2.js;jsessionid=1B48C2E0068F3272CFD0D94F25ACD1D7 HTTP/1.1" 200 293285
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:07 +0700] "GET /NhanKhauVN/views/admin/assets/img/quochuy.png HTTP/1.1" 200 85984
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:07 +0700] "GET /NhanKhauVN/views/admin/assets/js/bootstrap.min.js;jsessionid=1B48C2E0068F3272CFD0D94F25ACD1D7 HTTP/1.1" 200 29097
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:07 +0700] "GET /NhanKhauVN/views/admin/assets/js/jquery.metisMenu.js;jsessionid=1B48C2E0068F3272CFD0D94F25ACD1D7 HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:07 +0700] "GET /NhanKhauVN/views/admin/assets/js/morris/raphael-2.1.0.min.js;jsessionid=1B48C2E0068F3272CFD0D94F25ACD1D7 HTTP/1.1" 200 90647
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:07 +0700] "GET /NhanKhauVN/views/admin/assets/js/morris/morris.js;jsessionid=1B48C2E0068F3272CFD0D94F25ACD1D7 HTTP/1.1" 200 67203
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:07 +0700] "GET /NhanKhauVN/views/admin/assets/js/custom.js;jsessionid=1B48C2E0068F3272CFD0D94F25ACD1D7 HTTP/1.1" 200 6463
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:09 +0700] "GET /NhanKhauVN/views/admin/assets/font-awesome/fonts/fontawesome-webfontd41d.eot? HTTP/1.1" 200 38205
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/acc.html HTTP/1.1" 200 9337
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/css/bootstrap.css HTTP/1.1" 200 126547
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/css/font-awesome.css HTTP/1.1" 200 21743
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/js/morris/morris-0.4.3.min.css HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/css/custom.css HTTP/1.1" 200 8736
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/js/jquery-1.10.2.js HTTP/1.1" 200 293285
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 29097
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/js/jquery.metisMenu.js HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/js/dataTables/jquery.dataTables.js HTTP/1.1" 200 423608
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/js/dataTables/dataTables.bootstrap.js HTTP/1.1" 200 9614
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/js/morris/raphael-2.1.0.min.js HTTP/1.1" 200 90647
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/js/morris/morris.js HTTP/1.1" 200 67203
0:0:0:0:0:0:0:1 - - [19/Oct/2019:23:50:30 +0700] "GET /NhanKhauVN/views/admin/assets/js/custom.js HTTP/1.1" 200 6463
